time,logger,level,database,message,exception
2013-02-23 00:08:21.3898,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 00:08:21.3898,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 01:08:21.4557,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 01:08:21.4557,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 02:08:21.5266,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 02:08:21.5286,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 03:08:21.5985,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 03:08:21.5985,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 04:08:21.6664,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 04:08:21.6664,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 05:08:21.7343,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 05:08:21.7343,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 06:08:21.8463,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 06:08:21.8463,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 07:08:21.8732,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 07:08:21.8762,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 08:08:21.8951,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 08:08:21.8951,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 09:08:21.9650,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 09:08:21.9650,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 09:14:10.4739,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 09:14:10.5689,Raven.Database.Server.HttpServer,Debug,,Request #   1: GET     -   694 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 09:16:22.9065,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 09:16:22.9065,Raven.Database.Server.HttpServer,Debug,,Request #   2: GET     -   194 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 09:18:17.6291,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 09:18:17.6291,Raven.Database.Server.HttpServer,Debug,,Request #   3: GET     -    28 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 09:18:48.6468,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 09:18:48.6468,Raven.Database.Server.HttpServer,Debug,,Request #   4: GET     -    29 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 09:19:37.9356,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 09:19:37.9356,Raven.Database.Server.HttpServer,Debug,,Request #   5: GET     -    38 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 09:20:56.7262,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 09:20:56.7262,Raven.Database.Server.HttpServer,Debug,,Request #   6: GET     -    28 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 09:34:50.7389,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 09:34:50.7389,Raven.Database.Server.HttpServer,Debug,,Request #   7: GET     -    26 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 10:08:21.9979,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 10:08:21.9979,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 11:08:22.0479,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 11:08:22.0479,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 12:08:22.1578,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 12:08:22.2298,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 12:53:25.4644,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 12:53:25.8304,Raven.Database.Server.HttpServer,Debug,,"Request #   8: GET     - 2,010 ms - <system>   - 404 - /docs/Raven/Replication/Destinations",
2013-02-23 12:54:37.1795,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 12:54:37.1795,Raven.Database.Server.HttpServer,Debug,,Request #   9: GET     -   149 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
